name,district,star,rating,reviews,price,cost_performance,lat,lng,id,price_level,rating_level,cp_level,star_display
雁荡山雁山宾馆,乐清市,3,3.5,2192,154,1.14,28.143641041126376,120.94143559810765,20,经济 (200元以下),良好 (4.0以下),超高性价比,★★★☆☆
乐清天豪君澜大酒店,乐清市,5,4.2,7089,443,0.47,28.121038292303563,120.9855551138543,21,中档 (350-500元),优秀 (4.0-4.4),性价比一般,★★★★★
瑞安时代开元名都大酒店,瑞安市,5,4.7,3116,476,0.49,27.81804678390153,120.66243540481338,22,中档 (350-500元),极佳 (4.5+),性价比一般,★★★★★
瑞安国际大酒店,瑞安市,4,3.9,1304,315,0.62,27.75184404372169,120.64165099478704,23,舒适 (200-350元),良好 (4.0以下),高性价比,★★★★☆
瑞安瑞立大酒店,瑞安市,3,4.6,2108,177,1.3,27.7656297838077,120.69068284415458,24,经济 (200元以下),极佳 (4.5+),超高性价比,★★★☆☆
瑞安华侨饭店,瑞安市,3,3.9,3295,153,1.27,27.765256885633416,120.6304781258158,25,经济 (200元以下),良好 (4.0以下),超高性价比,★★★☆☆
楠溪江悦庭楠舍,永嘉县,4,4.2,8730,384,0.55,28.111986536733365,120.67376151714036,26,中档 (350-500元),优秀 (4.0-4.4),高性价比,★★★★☆
楠溪江耕读小院,永嘉县,3,4.7,7498,281,0.84,28.17030189588952,120.67636296023792,27,舒适 (200-350元),极佳 (4.5+),超高性价比,★★★☆☆
永嘉裕锦大酒店,永嘉县,4,4.8,15860,323,0.74,28.14972485058924,120.67008783098169,28,舒适 (200-350元),极佳 (4.5+),高性价比,★★★★☆
楠溪江四季驿站,永嘉县,3,3.9,3752,185,1.05,28.150267902322884,120.645147875125,29,经济 (200元以下),良好 (4.0以下),超高性价比,★★★☆☆
洞头金海岸开元名都度假酒店,洞头区,5,3.9,10786,579,0.34,27.843093458331712,121.14477831645732,30,高档 (500元以上),良好 (4.0以下),性价比一般,★★★★★
洞头罗马酒店,洞头区,3,4.2,10278,218,0.96,27.82696544560614,121.12421599382776,31,舒适 (200-350元),优秀 (4.0-4.4),超高性价比,★★★☆☆
洞头海景度假公寓,洞头区,3,4.5,8785,229,0.98,27.82988244424445,121.18164318732194,32,舒适 (200-350元),极佳 (4.5+),超高性价比,★★★☆☆
洞头海上人家,洞头区,4,4.5,4887,380,0.59,27.859581280679087,121.18583588048138,33,中档 (350-500元),极佳 (4.5+),高性价比,★★★★☆
文成国际大酒店,文成县,4,4.4,1539,301,0.73,27.76264957751979,120.10451727904096,34,舒适 (200-350元),优秀 (4.0-4.4),高性价比,★★★★☆
文成天鹅堡度假酒店,文成县,4,3.7,5432,367,0.5,27.833672998873677,120.0537520944146,35,中档 (350-500元),良好 (4.0以下),高性价比,★★★★☆
文成隐山居,文成县,3,3.9,2098,248,0.79,27.8277339353381,120.06579416277152,36,舒适 (200-350元),良好 (4.0以下),高性价比,★★★☆☆
苍南万顺大酒店,苍南县,4,4.6,8007,322,0.71,27.494185229090046,120.3893102767806,37,舒适 (200-350元),极佳 (4.5+),高性价比,★★★★☆
苍南国际大酒店,苍南县,4,4.7,11440,291,0.81,27.50390297910487,120.41492095746128,38,舒适 (200-350元),极佳 (4.5+),超高性价比,★★★★☆
苍南渔寮海景酒店,苍南县,3,4.4,11407,223,0.99,27.547987554585763,120.44420316461544,39,舒适 (200-350元),优秀 (4.0-4.4),超高性价比,★★★☆☆
泰顺香洲国际大酒店,泰顺县,4,3.7,5027,340,0.54,27.510919705161665,119.6801471542866,40,舒适 (200-350元),良好 (4.0以下),高性价比,★★★★☆
泰顺亿联开元名都大酒店,泰顺县,5,4.4,1116,431,0.51,27.564873378936657,119.73918951976928,41,中档 (350-500元),优秀 (4.0-4.4),高性价比,★★★★★
泰顺山里人家民宿,泰顺县,3,4.3,2076,191,1.13,27.53372490874968,119.70253996981592,42,经济 (200元以下),优秀 (4.0-4.4),超高性价比,★★★☆☆
平阳国际大酒店,平阳县,4,4.0,7142,319,0.63,27.65080607918524,120.5642540230555,43,舒适 (200-350元),优秀 (4.0-4.4),高性价比,★★★★☆
平阳南麂岛海景酒店,平阳县,3,4.2,6367,323,0.65,27.678987084756056,120.6078892858275,44,舒适 (200-350元),优秀 (4.0-4.4),高性价比,★★★☆☆
平阳海港宾馆,平阳县,3,4.1,8305,176,1.16,27.655007840769468,120.57451033620306,45,经济 (200元以下),优秀 (4.0-4.4),超高性价比,★★★☆☆
